YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
1980,New Jersey,7364823,3533012,3831811,463289,508447,605841,413284,257381,124854,122729,367245,574135,563758,879823,826558,430048,155560,212100,530707,256833,72231,6154833,924909,10200,109383,4477146,517421,377957
1980,New Mexico,1302894,642157,660737,114731,109615,114101,79460,52846,26024,25009,74395,115344,101303,144938,122043,58424,20192,28563,74732,32391,8783,990657,23071,106750,7728,753345,64728,67083
1980,New York,17558072,8339422,9218650,1135925,1184879,1406060,960999,637572,314719,307969,897258,1428376,1351839,2043219,1908113,979370,354865,486142,1292428,675356,192983,14033644,2405818,43987,330972,10760299,1058219,1050709
1980,North Carolina,5881766,2855385,3026381,404076,447688,482228,323743,242579,125275,120396,333841,502579,461169,682634,601335,295910,108276,146856,387587,170391,45203,4460570,1319054,65960,23150,3726519,315290,180596
1980,North Dakota,652717,328426,324291,54752,49016,51043,36180,27797,14705,14218,40470,58470,45687,63646,59128,29218,11086,16856,47147,25158,8140,626358,2471,19953,2292,401032,38880,21141
1980,Ohio,10797630,5217137,5580493,787150,821480,886625,599065,408614,204093,202141,598685,907679,815697,1199823,1126607,581948,205715,282848,706554,354480,108426,9607133,1076742,15554,53166,6765827,535102,402860
1980,Oklahoma,3025290,1476705,1548585,233307,229573,230675,161329,117658,59643,57117,167482,252745,222829,337220,298730,150228,55505,75123,224733,117412,33981,2603063,204810,171224,19765,1878501,163890,127302
1980,Oregon,2633105,1296566,1336539,198046,189329,202503,133179,92689,46124,45697,146039,253530,227623,303796,243605,129919,48449,69241,184554,90351,28431,2496398,37454,30469,40958,1607932,160660,140704
1980,Pennsylvania,11863895,5682590,6181305,747458,805151,931891,638796,441814,221397,218843,619575,945051,847847,1274072,1296012,712074,263430,369551,944065,456908,129960,10668416,1045318,11132,70514,7656442,613758,468161
1980,Rhode Island,947154,451251,495903,56692,61465,74170,50524,39249,19617,19114,51500,76215,69820,98863,97804,55748,20736,28715,75562,39382,11978,900408,27361,3204,6617,606721,54571,42692
1980,South Carolina,3121820,1518013,1603807,238516,253643,266179,183628,133606,67365,64313,182060,273137,243604,350505,299183,149937,55272,73544,189527,77797,20004,2147825,947969,6744,13370,1921261,159969,97296
1980,South Dakota,690768,340683,350085,58446,52871,54400,39889,28752,14559,13548,38446,56868,45959,66432,64968,33567,12782,18262,50515,30077,10427,639840,2152,45572,1917,424149,38516,21569
1980,Tennessee,4591120,2216600,2374520,326088,349928,369940,252604,177649,88513,84813,250087,387987,356636,533841,465366,230307,84139,115634,323027,153118,41443,3837968,724808,7035,15252,2917800,220749,152423
